location,location_town,first_rental_day,return_date,gear_name,price
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Helmet,20.7
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Skating shoes,15.3
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Snowshoes,32.4
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Ski Exclusive,121.5
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Ski Premium,89.1
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Telemark Ski Premium,121.5
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Ski Test,144.0
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Skiboots premium,45.0
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Telemark skiboots,48.6
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Alpine touring ski boots,54.0
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Touring Ski exklusiv,121.5
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Skiing jacket adult,45.0
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Skiing pants adult,45.0
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Snowboard exclusive,121.5
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Snowboard premium,89.1
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Snowboardboots premium,42.3
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Toboggan,45.0
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Helmet,27.9
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Skating shoes,21.6
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Snowshoes,45.0
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Ski Premium,49.5
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Ski Economy,39.6
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Skiboots premium,22.5
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Snowboard premium,49.5
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Snowboard Economy,39.6
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Snowboardboots premium,22.5
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Helmet,9.0
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Sledges,12.6
