,location,type,comparable price,id,url,position,city,address,bathrooms,bedrooms,beds,Wifi,Free parking,Pets,Breakfast,isSuperhost,rareFind,base_price per night,base_price total,Cleaning fee,Airbnb service fee,Taxes,Special offer,Long stay discount,rate,total,persons,reviewsCount,rating
34,Mollis,Entire vacation home,54.0,580286909455244127,https://www.airbnb.com/rooms/580286909455244127,21,Weesen,"Weesen, Sankt Gallen, Switzerland",1.5,2,3.0,True,True,False,False,False,False,150 ,300,70.0,62.0,0.0,0.0,0.0,216,432,4,10,4.9
35,Mollis,Private room in rental unit,42.0,18715274,https://www.airbnb.com/rooms/18715274,22,Bilten,"Bilten, Glarus, Switzerland",1.0,1,1.0,True,True,False,False,True,False,72 ,144,0.0,24.0,0.0,0.0,0.0,84,168,2,67,5.0
36,Mollis,Private room in bed and breakfast,56.0,743320268563272802,https://www.airbnb.com/rooms/743320268563272802,23,Mollis,"Mollis, Glarus, Switzerland",1.0,1,1.0,True,True,False,False,False,False,120 ,240,0.0,32.0,0.0,48.0,0.0,112,224,2,2,
37,Mollis,Entire rental unit,78.33333333333333,710493202041542167,https://www.airbnb.com/rooms/710493202041542167,24,Näfels,"Näfels, Glarus, Switzerland",1.0,1,2.0,True,False,False,False,False,False,157 ,313,156.0,0.0,0.0,0.0,0.0,235,469,3,3,5.0
38,Mollis,Entire rental unit,142.5,567937975436600259,https://www.airbnb.com/rooms/567937975436600259,25,Mollis,"Mollis, Glarus, Switzerland",1.0,1,1.0,True,True,False,False,False,False,242 ,484,80.0,0.0,6.0,0.0,0.0,285,570,2,6,5.0
39,Mollis,Entire home,32.166666666666664,1003322081599012983,https://www.airbnb.com/rooms/1003322081599012983,29,Glarus,"Glarus, Glarus, Switzerland",1.0,4,5.0,True,True,True,False,False,False,120 ,240,90.0,55.0,0.0,0.0,0.0,193,385,6,1,
40,Mollis,Entire chalet,46.6,626051470168537171,https://www.airbnb.com/rooms/626051470168537171,30,Ennenda,"Ennenda, Glarus, Switzerland",1.0,3,5.0,False,True,False,False,False,False,241 ,481,75.0,0.0,0.0,0.0,90.0,233,466,5,10,4.9
41,Mollis,Entire vacation home,73.0,622348608208231713,https://www.airbnb.com/rooms/622348608208231713,32,Schänis,"Schänis, Sankt Gallen, Switzerland",1.0,1,1.0,True,True,True,False,False,False,90 ,180,70.0,42.0,0.0,0.0,0.0,146,292,2,3,4.67
42,Mollis,Entire rental unit,45.666666666666664,570057275112540336,https://www.airbnb.com/rooms/570057275112540336,40,Netstal,"Netstal, Glarus, Switzerland",1.0,2,3.0,True,True,False,False,False,False,137 ,273,0.0,0.0,0.0,0.0,0.0,137,273,3,6,4.83
43,Altdorf,Entire rental unit,44.0,918681581169217698,https://www.airbnb.com/rooms/918681581169217698,5,Altdorf,"Altdorf, Uri, Switzerland",1.0,2,5.0,True,True,False,False,False,False,110 ,220,80.0,50.0,1.0,0.0,0.0,176,351,4,12,5.0
44,Altdorf,Entire condo,58.5,931020115500857009,https://www.airbnb.com/rooms/931020115500857009,6,Schattdorf,"Schattdorf, Uri, Switzerland",1.0,1,1.0,True,True,False,False,True,False,80 ,160,40.0,34.0,0.0,0.0,0.0,117,234,2,14,4.93
45,Altdorf,Private room,30.333333333333332,30895505,https://www.airbnb.com/rooms/30895505,8,Altdorf,"Altdorf, Uri, Switzerland",1.0,0,3.0,True,True,False,False,True,False,60 ,120,35.0,26.0,0.0,0.0,0.0,91,181,3,158,4.78
46,Altdorf,Entire rental unit,20.428571428571427,960040560070651681,https://www.airbnb.com/rooms/960040560070651681,10,Altdorf,"Altdorf, Uri, Switzerland",2.0,3,4.0,True,True,True,False,False,False,105 ,210,75.0,0.0,0.0,0.0,0.0,143,285,7,15,4.47
47,Altdorf,Entire condo,36.2,53520168,https://www.airbnb.com/rooms/53520168,12,Seedorf,"Seedorf, Uri, Switzerland",1.0,1,3.0,True,True,True,False,True,False,125 ,250,60.0,52.0,0.0,0.0,0.0,181,362,5,153,4.87
48,Altdorf,Private room in home,20.5,22095145,https://www.airbnb.com/rooms/22095145,14,Attinghausen,"Attinghausen, Uri, Switzerland",1.5,1,3.0,True,True,False,False,True,False,55 ,110,30.0,24.0,0.0,0.0,0.0,82,164,4,97,4.88
49,Altdorf,Entire rental unit,64.5,23493230,https://www.airbnb.com/rooms/23493230,16,Seedorf,"Seedorf, Uri, Switzerland",1.0,0,1.0,True,True,False,False,True,False,90 ,180,40.0,37.0,0.0,0.0,0.0,129,257,2,289,4.94
50,Altdorf,Entire rental unit,75.5,24485490,https://www.airbnb.com/rooms/24485490,17,Attinghausen,"Attinghausen, Uri, Switzerland",1.0,0,1.0,True,False,False,False,False,False,104 ,208,50.0,43.0,0.0,0.0,0.0,151,301,2,100,4.77
51,Altdorf,Entire condo,33.25,644239754877301879,https://www.airbnb.com/rooms/644239754877301879,18,Schattdorf,"Schattdorf, Uri, Switzerland",1.0,2,1.0,True,True,True,False,False,False,105 ,210,55.0,0.0,0.0,0.0,0.0,133,265,4,59,4.69
52,Altdorf,Entire rental unit,22.166666666666668,664298649094137210,https://www.airbnb.com/rooms/664298649094137210,19,Schattdorf,"Schattdorf, Uri, Switzerland",1.0,1,2.0,True,True,True,False,False,False,105 ,210,55.0,0.0,0.0,0.0,0.0,133,265,6,58,4.74
53,Altdorf,Entire rental unit,28.25,874322785118584279,https://www.airbnb.com/rooms/874322785118584279,23,Schattdorf,"Schattdorf, Uri, Switzerland",1.0,1,2.0,True,True,True,False,False,False,90 ,180,45.0,0.0,0.0,0.0,0.0,113,225,4,14,4.43
54,Altdorf,Entire condo,26.6,601866489482807874,https://www.airbnb.com/rooms/601866489482807874,33,Silenen,"Silenen, Uri, Switzerland",1.0,2,2.0,True,True,True,False,False,False,105 ,210,55.0,0.0,0.0,0.0,0.0,133,265,5,88,4.61
55,Altdorf,Entire rental unit,19.75,912810978069295214,https://www.airbnb.com/rooms/912810978069295214,38,Erstfeld,"Erstfeld, Uri, Switzerland",2.0,4,6.0,True,True,True,False,False,False,115 ,230,85.0,0.0,0.0,0.0,0.0,158,315,8,16,4.38
56,Chur,Private room in rental unit,55.5,661399301005855603,https://www.airbnb.com/rooms/661399301005855603,5,Chur,"Chur, Graubünden, Switzerland",1.0,1,1.0,True,False,False,False,False,False,95 ,190,0.0,32.0,0.0,0.0,0.0,111,222,2,15,5.0
57,Chur,Private room in rental unit,44.5,630902406343977927,https://www.airbnb.com/rooms/630902406343977927,9,Chur,"Chur, Graubünden, Switzerland",1.5,1,1.0,True,False,False,False,False,False,66 ,132,20.0,26.0,0.0,0.0,0.0,89,178,2,32,4.63
58,Chur,Private room in rental unit,54.5,981591440551231028,https://www.airbnb.com/rooms/981591440551231028,13,Chur,"Chur, Graubünden, Switzerland",1.0,1,1.0,True,False,False,False,False,False,81 ,162,25.0,31.0,0.0,0.0,0.0,109,218,2,1,
59,Chur,Private room in serviced apartment,43.75,52929622,https://www.airbnb.com/rooms/52929622,17,Chur,"Chur, Graubünden, Switzerland",2.0,1,2.0,True,True,False,False,True,False,144 ,288,56.0,0.0,5.0,0.0,0.0,175,349,4,23,4.65
60,Chur,Private room in rental unit,55.0,782439616356422102,https://www.airbnb.com/rooms/782439616356422102,39,Trin,"Trin, Graubünden, Switzerland",1.0,1,1.0,True,True,True,False,True,False,110 ,220,0.0,0.0,0.0,0.0,0.0,110,220,2,3,5.0
61,Chur,Private room in rental unit,31.0,724524859929802455,https://www.airbnb.com/rooms/724524859929802455,40,Chur,"Chur, Graubünden, Switzerland",1.0,1,1.0,True,True,False,False,False,False,53 ,106,0.0,18.0,0.0,0.0,0.0,62,124,2,24,4.25
62,Brigels / Breil,Entire rental unit,32.8,41373970,https://www.airbnb.com/rooms/41373970,10,Waltensburg,"Waltensburg, Graubünden, Switzerland",1.0,2,5.0,True,True,False,False,True,False,90 ,180,100.0,47.0,0.0,0.0,0.0,164,327,5,56,4.93
63,Brigels / Breil,Entire vacation home,40.833333333333336,54244964,https://www.airbnb.com/rooms/54244964,21,Rueun,"Rueun, Graubünden, Switzerland",1.0,2,5.0,True,True,False,False,True,False,245 ,490,0.0,0.0,0.0,0.0,0.0,245,490,6,41,4.93
64,Brigels / Breil,Entire rental unit,30.2,43842135,https://www.airbnb.com/rooms/43842135,24,Siat,"Siat, Grigioni, Switzerland",1.0,2,4.0,True,True,False,False,True,False,69 ,138,120.0,43.0,0.0,0.0,0.0,151,301,5,49,4.94
65,Brigels / Breil,Entire rental unit,99.5,18473611,https://www.airbnb.com/rooms/18473611,37,"Waltensburg/Vuorz, Graubünden, CH","Waltensburg/Vuorz, Graubünden, CH, Graubünden, Switzerland",1.0,1,2.0,True,True,False,False,False,False,170 ,340,0.0,57.0,0.0,0.0,0.0,199,397,2,73,4.99
66,Gurnigel,Entire rental unit,64.5,880337812806134032,https://www.airbnb.com/rooms/880337812806134032,28,Burgistein,"Burgistein, Bern, Switzerland",1.0,1,1.0,True,True,False,False,False,False,75 ,150,70.0,37.0,0.0,0.0,0.0,129,257,2,24,4.96
67,Tramelan,Entire rental unit,41.0,31648770,https://www.airbnb.com/rooms/31648770,1,Mont-Tramelan,"Mont-Tramelan, BE, Switzerland",1.0,2,4.0,True,True,False,False,True,False,100 ,200,80.0,47.0,0.0,0.0,0.0,164,327,4,71,4.76
68,Tramelan,Entire rental unit,25.0,45487756,https://www.airbnb.com/rooms/45487756,3,Tramelan,"Tramelan, Berne, Switzerland",1.5,4,6.0,False,True,False,False,True,False,80 ,160,140.0,50.0,0.0,0.0,0.0,175,350,7,56,4.91
69,Tramelan,Entire rental unit,27.333333333333332,38400830,https://www.airbnb.com/rooms/38400830,4,Tramelan,"Tramelan, Berne, Switzerland",1.5,2,6.0,True,True,False,False,False,False,95 ,190,90.0,47.0,0.0,0.0,0.0,164,327,6,3,5.0
70,Tramelan,Entire rental unit,84.25,988179182044338733,https://www.airbnb.com/rooms/988179182044338733,6,Tramelan,"Tramelan, Berne, Switzerland",1.5,2,2.0,True,True,True,False,False,False,247 ,494,180.0,0.0,0.0,0.0,0.0,337,674,4,0,
71,Tramelan,Private room in bed and breakfast,32.25,27054990,https://www.airbnb.com/rooms/27054990,7,Tramelan,"Tramelan, Canton of Bern, Switzerland",1.0,2,2.0,True,True,False,True,False,False,110 ,220,0.0,37.0,0.0,0.0,0.0,129,257,4,13,5.0
72,Tramelan,Private room in farm stay,57.0,43253826,https://www.airbnb.com/rooms/43253826,12,Tramelan,"Tramelan, Berne, Switzerland",1.0,1,2.0,True,True,True,False,False,False,114 ,228,0.0,0.0,0.0,0.0,0.0,114,228,2,6,4.67
73,Tramelan,Entire rental unit,38.6,11642931,https://www.airbnb.com/rooms/11642931,18,Les Genevez /,"Les Genevez /, Jura, Switzerland",1.5,3,8.0,True,True,False,False,True,False,230 ,460,200.0,111.0,0.0,0.0,0.0,386,771,10,96,4.78
74,Tramelan,Entire rental unit,54.4,42726537,https://www.airbnb.com/rooms/42726537,27,Tramelan,"Tramelan, Berne, Switzerland",1.0,3,4.0,True,True,True,False,False,False,272 ,544,0.0,0.0,0.0,0.0,0.0,272,544,5,20,4.9
75,Tramelan,Private room in farm stay,61.0,43253693,https://www.airbnb.com/rooms/43253693,30,Tramelan,"Tramelan, Berne, Switzerland",1.0,1,1.0,True,True,True,False,False,False,122 ,244,0.0,0.0,0.0,0.0,0.0,122,244,2,14,4.79
76,Tramelan,Private room in pension,45.5,703038633809856362,https://www.airbnb.com/rooms/703038633809856362,32,Petit-Val,"Petit-Val, Berne, Switzerland",1.5,1,1.0,True,True,True,False,True,False,60 ,120,35.0,26.0,0.0,0.0,0.0,91,181,2,18,4.67
