Samnaun ,2023-12-15,2023-12-15,Ski Budget,Type according to availability;,CHF 25.20
Samnaun ,2023-12-15,2023-12-15,Skiboots premium,Direct force transmission__High Comfort & perfect Footing__Better Performance__Type according to availability;,CHF 17.10
Samnaun ,2023-12-15,2023-12-15,Alpine touring ski boots,Type according to availability;,CHF 17.10
Samnaun ,2023-12-15,2023-12-15,Touring Ski Premium,Type according to availability__incl. skins and poles;,CHF 45.00
Samnaun ,2023-12-15,2023-12-15,Cancellation option,With the cancellation option you can cancel your reservation until 12.00 the day before.__You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Samnaun ,2023-12-15,2023-12-15,Snowboard premium,Top Performance__Supporting swing release__Perfect for powder__Type according to availability;,CHF 45.00
Samnaun ,2023-12-15,2023-12-15,Snowboard Economy,Perfect for all levels__Tolerance for failures__Stable Board__Type according to availability;,CHF 34.20
Samnaun ,2023-12-15,2023-12-15,Snowboard Budget,Perfect for beginners__Tolerant for failures__Stable Board__Type according to availability;,CHF 25.20
Samnaun ,2023-12-15,2023-12-15,Snowboardboots premium,Direct Power Transmission__Safe stand & warm feet__Maximum heel stability__Type according to availability;,CHF 17.10
Samnaun ,2023-12-15,2023-12-15,Snowshoes,Great natural experience__Easy going on snow__Highest Comfort;,CHF 17.10
Samnaun ,2023-12-15,2023-12-15,Toboggan,Comfortable Seating__Easy steering;,CHF 7.20
Samnaun ,2023-12-15,2023-12-16,Ski Exclusive,Highest Quality & innovative technology__Direct power transmission__Power for sporting descents__Type according to availability;,CHF 94.50
Samnaun ,2023-12-15,2023-12-16,Ski Premium,For sporty bargain hunters__A ton of fun on the slopes__Type according to availability;,CHF 81.00
Samnaun ,2023-12-15,2023-12-16,Ski Economy,For the price-conscious__Type according to availability;,CHF 64.80
Samnaun ,2023-12-15,2023-12-16,Ski Budget,Type according to availability;,CHF 47.70
Samnaun ,2023-12-15,2023-12-16,Skiboots premium,Direct force transmission__High Comfort & perfect Footing__Better Performance__Type according to availability;,CHF 32.40
Samnaun ,2023-12-15,2023-12-16,Alpine touring ski boots,Type according to availability;,CHF 32.40
Samnaun ,2023-12-15,2023-12-16,Touring Ski Premium,Type according to availability__incl. skins and poles;,CHF 81.00
Samnaun ,2023-12-15,2023-12-16,Cancellation option,With the cancellation option you can cancel your reservation until 12.00 the day before.__You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Samnaun ,2023-12-15,2023-12-16,Snowboard premium,Top Performance__Supporting swing release__Perfect for powder__Type according to availability;,CHF 81.00
Samnaun ,2023-12-15,2023-12-16,Snowboard Economy,Perfect for all levels__Tolerance for failures__Stable Board__Type according to availability;,CHF 64.80
Samnaun ,2023-12-15,2023-12-16,Snowboard Budget,Perfect for beginners__Tolerant for failures__Stable Board__Type according to availability;,CHF 47.70
Samnaun ,2023-12-15,2023-12-16,Snowboardboots premium,Direct Power Transmission__Safe stand & warm feet__Maximum heel stability__Type according to availability;,CHF 32.40
Samnaun ,2023-12-15,2023-12-16,Snowshoes,Great natural experience__Easy going on snow__Highest Comfort;,CHF 32.40
Samnaun ,2023-12-15,2023-12-16,Toboggan,Comfortable Seating__Easy steering;,CHF 12.60
Samnaun ,2023-12-15,2023-12-17,Ski Exclusive,Highest Quality & innovative technology__Direct power transmission__Power for sporting descents__Type according to availability;,CHF 130.50
Samnaun ,2023-12-15,2023-12-17,Ski Premium,For sporty bargain hunters__A ton of fun on the slopes__Type according to availability;,CHF 103.50
Samnaun ,2023-12-15,2023-12-17,Ski Economy,For the price-conscious__Type according to availability;,CHF 80.10
Samnaun ,2023-12-15,2023-12-17,Ski Budget,Type according to availability;,CHF 60.30
Samnaun ,2023-12-15,2023-12-17,Skiboots premium,Direct force transmission__High Comfort & perfect Footing__Better Performance__Type according to availability;,CHF 42.30
Samnaun ,2023-12-15,2023-12-17,Alpine touring ski boots,Type according to availability;,CHF 42.30
Samnaun ,2023-12-15,2023-12-17,Touring Ski Premium,Type according to availability__incl. skins and poles;,CHF 103.50
Samnaun ,2023-12-15,2023-12-17,Cancellation option,With the cancellation option you can cancel your reservation until 12.00 the day before.__You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Samnaun ,2023-12-15,2023-12-17,Snowboard premium,Top Performance__Supporting swing release__Perfect for powder__Type according to availability;,CHF 103.50
Samnaun ,2023-12-15,2023-12-17,Snowboard Economy,Perfect for all levels__Tolerance for failures__Stable Board__Type according to availability;,CHF 80.10
Samnaun ,2023-12-15,2023-12-17,Snowboard Budget,Perfect for beginners__Tolerant for failures__Stable Board__Type according to availability;,CHF 60.30
Samnaun ,2023-12-15,2023-12-17,Snowboardboots premium,Direct Power Transmission__Safe stand & warm feet__Maximum heel stability__Type according to availability;,CHF 42.30
Samnaun ,2023-12-15,2023-12-17,Snowshoes,Great natural experience__Easy going on snow__Highest Comfort;,CHF 42.30
Samnaun ,2023-12-15,2023-12-17,Toboggan,Comfortable Seating__Easy steering;,CHF 16.20
Münster (Goms) ,2023-12-15,2023-12-15,Ski Exclusive,Highest Quality & innovative technology__Direct power transmission__Power for sporting descents__Type according to availability;,CHF 50.00
Münster (Goms) ,2023-12-15,2023-12-15,Ski Economy,For the price-conscious__Type according to availability;,CHF 39.00
Münster (Goms) ,2023-12-15,2023-12-15,Ski Budget,Type according to availability;,CHF 29.00
Münster (Goms) ,2023-12-15,2023-12-15,Skiboots economy,Allround ski boot__Comfortable wearing__Excellent driving performance__Type according to availability;,CHF 19.00
