location,location_town,first_rental_day,return_date,gear_name,price,rental_duration,price_per_day,gear_class
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Ski Premium,51.3,2,25.65,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Ski Economy,42.3,2,21.15,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Skiboots economy,20.7,2,10.35,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Alpine touring ski,59.4,2,29.7,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Ski jacket and ski pants,79.0,2,39.5,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Alpine touring ski boots,20.7,2,10.35,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Ski helmet,10.8,2,5.4,helmet
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Snowboard Economy,42.3,2,21.15,snowboard
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Snowboard boots Premium,20.7,2,10.35,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Snow shoes incl. poles,20.7,2,10.35,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Snowblades,26.1,2,13.05,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Skating shoes,8.1,2,4.05,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Ski Superior,83.7,3,27.900000000000002,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Ski Premium,74.7,3,24.900000000000002,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Ski Economy,61.2,3,20.400000000000002,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Skiboots economy,26.1,3,8.700000000000001,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Alpine touring ski,83.7,3,27.900000000000002,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Ski jacket and ski pants,109.0,3,36.333333333333336,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Alpine touring ski boots,26.1,3,8.700000000000001,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Ski helmet,14.4,3,4.8,helmet
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Snowboard Economy,61.2,3,20.400000000000002,snowboard
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Snowboard boots Premium,26.1,3,8.700000000000001,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Snowblades,35.1,3,11.700000000000001,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Snow shoes incl. poles,26.1,3,8.700000000000001,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Skating shoes,10.8,3,3.6,clothes
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Ski Premium,52.8,1,52.8,ski
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Ski Economy,39.6,1,39.6,ski
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Skiboots premium,26.4,1,26.4,clothes
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Skiboots economy,21.1,1,21.1,clothes
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Snowboard Economy,39.6,1,39.6,snowboard
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Snowboard boots economy,21.1,1,21.1,clothes
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Helmet,7.9,1,7.9,helmet
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Ski Premium,91.5,2,45.75,ski
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Ski Economy,69.5,2,34.75,ski
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Skiboots premium,45.75,2,22.875,clothes
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Skiboots economy,36.95,2,18.475,clothes
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Snowboard Economy,69.5,2,34.75,snowboard
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Snowboard boots economy,36.95,2,18.475,clothes
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Helmet,14.1,2,7.05,helmet
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Ski Premium,120.55,3,40.18333333333333,ski
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Ski Economy,91.5,3,30.5,ski
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Skiboots premium,59.85,3,19.95,clothes
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Skiboots economy,48.4,3,16.133333333333333,clothes
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Snowboard Economy,91.5,3,30.5,snowboard
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Snowboard boots economy,48.4,3,16.133333333333333,clothes
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Helmet,18.5,3,6.166666666666667,helmet
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Ski set Economy,52.2,1,52.2,set
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Ski Premium,48.6,1,48.6,ski
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Telemark Ski Premium,48.6,1,48.6,ski
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Ski Economy,35.1,1,35.1,ski
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Skiboots economy,17.1,1,17.1,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Telemark skiboots,17.1,1,17.1,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Snowboard premium,48.6,1,48.6,snowboard
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Snowboard Economy,35.1,1,35.1,snowboard
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Snowboard boots economy,17.1,1,17.1,clothes
